[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3875428005.809,10/20/2022,11:47 am
BYAPP,ACMS II,1.0,1.2
INFO,DYNACOOL ACMS II Option Release 1.0.8 Build 33,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 K0,MOTOR_HW_VERSION
INFO,MMC794,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 A0,ACMS_HW_VERSION
INFO,ACMSII028,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF046,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NiCl2-btdm,SAMPLE_MATERIAL
INFO,4.8mg cling film,SAMPLE_COMMENT
INFO,22.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
sample offset = 25.15 mm,3875428540.45273,4.00049047470093,0.613626092672348,,,,,,,,,,,,,0.0394050997975412,2.89592113378204E-6,-5.66867503597469E-5,1,2,,80,2,1,,,0.0379506871356847,0.000140456566009445,0.000229231707635336,-8.01824717200361E-5,,,,0.00951218574196658,39.995735168457,1.97456221448096,4.00164794921875,4.00034523010254,4.00063467025757,0.569160401821136,0.65809178352356,0.125599205493927,1,4,3,4,23.1730000402331,1,20.6775628111325,1.11358642578125,32.2580642700195,32.2580642700195,,,,,,,,,,,,,,,,
,3875428542.68838,4.00062322616577,0.59583979845047,,,,,,,,,,,,,0.0394002913958336,1.99739508020255E-6,-9.1089891200893E-5,1,2,,80,2,2,,,0.0379462265314292,0.00010729965165775,0.000229261393542402,-7.9967467172537E-5,,,,0.00950963887510399,39.995735168457,1.97444872047634,4.00118589401245,4.00058746337891,4.00065469741821,0.569160401821136,0.622519195079804,0.125650227069855,1,4,3,4,23.1730000402331,1,20.6773989367427,1.11503601074219,32.2580642700195,32.7468223571777,,,,,,,,,,,,,,,,
,3875428544.8743,4.00065269470215,0.613626092672348,,,,,,,,,,,,,0.0393972148317351,2.63745251166193E-6,-9.53252312276585E-5,1,2,,80,2,3,,,0.0379432845101003,0.000103205447946801,0.000229260200285353,-7.99419649410993E-5,,,,0.00950913845675167,39.995735168457,1.97452672907108,4.00136804580688,4.00060129165649,4.00071811676025,0.604732990264893,0.622519195079804,0.125843495130539,1,4,3,4,23.1730000402331,1,20.6779791709724,1.11442565917969,32.7468223571777,32.7468223571777,,,,,,,,,,,,,,,,
,3875428546.99966,4.00064659118652,0.595839858055115,,,,,,,,,,,,,0.0393947835546952,1.9223228750836E-6,-9.25188388325846E-5,1,2,,80,2,4,,,0.0379409290929444,0.000105896192416625,0.000229244775255211,-7.99536574049853E-5,,,,0.00950911232966554,39.995735168457,1.97456260197248,4.00107288360596,4.00047063827515,4.00101661682129,0.586946725845337,0.604732990264893,0.125858247280121,1,4,3,4,23.1730000402331,1,20.6777101551387,1.11579895019531,33.2355842590332,32.7468223571777,,,,,,,,,,,,,,,,
,3875428549.1231,4.00048723220825,0.578053563833237,,,,,,,,,,,,,0.039392740672611,2.37728322813683E-6,-9.10733465078258E-5,1,2,,80,2,5,,,0.0379389544689552,0.000107278198886659,0.000229230310651474,-7.99688714323565E-5,,,,0.00950877152882819,39.995735168457,1.97459559685517,4.00079584121704,4.00040102005005,4.00057363510132,0.569160401821136,0.586946725845337,0.125940695405006,1,4,3,4,23.1730000402331,1,20.6801291251127,1.11663818359375,33.2355842590332,32.2580642700195,,,,,,,,,,,,,,,,
,3875428551.26324,4.00026597976685,0.604732930660248,,,,,,,,,,,,,0.039394686512821,2.103415475523E-6,-8.971412386369E-5,1,2,,80,2,6,,,0.0379408217520056,0.000108596892918452,0.000229243290959857,-7.99737244960852E-5,,,,0.00950894737953789,39.995735168457,1.97461125643998,4.00113105773926,4.00018644332886,4.00040912628174,0.569160401821136,0.640305459499359,0.12598429620266,1,4,3,4,23.1730000402331,1,20.6782180739289,1.11557006835938,33.7243423461914,32.2580642700195,,,,,,,,,,,,,,,,
,3875428553.41163,4.00016510486603,0.604732930660248,,,,,,,,,,,,,0.0393945717177716,2.35884363816297E-6,-9.2374129844335E-5,1,2,,80,2,7,,,0.0379407243615464,0.000106034516481661,0.000229243640205823,-7.99640329205431E-5,,,,0.00950890891623976,39.995735168457,1.97459300558839,4.00091218948364,4.00012731552124,4.00022506713867,0.569160401821136,0.640305459499359,0.126157432794571,1,4,3,4,23.1730000402331,1,20.6799005473929,1.1114501953125,33.7243423461914,33.7243423461914,,,,,,,,,,,,,,,,
,3875428555.55698,4.0002158164978,0.613626092672348,,,,,,,,,,,,,0.0393938274115653,1.9478491110222E-6,-9.09544061141872E-5,1,2,,80,2,8,,,0.037940000506331,0.000107398150727916,0.00022923800861463,-7.99733534222469E-5,,,,0.00950893498786082,39.995735168457,1.97461264947094,4.00108861923218,4.00017499923706,4.00028657913208,0.569160401821136,0.65809178352356,0.126179471611977,1,4,3,4,23.1730000402331,1,20.6803527433482,1.11534118652344,34.2131004333496,32.2580642700195,,,,,,,,,,,,,,,,
,3875428557.69492,4.00016326904297,0.640305489301682,,,,,,,,,,,,,0.0393941376480643,2.47913437438272E-6,-9.09790048836717E-5,1,2,,80,2,9,,,0.0379402994159278,0.000107376013165895,0.000229231591220014,-7.99756307969801E-5,,,,0.00950867288727622,39.995735168457,1.97455254384924,4.00097751617432,4.00007438659668,4.00020265579224,0.622519195079804,0.65809178352356,0.126238971948624,1,4,3,4,23.1730000402331,1,20.6813937756657,1.11381530761719,35.190616607666,32.7468223571777,,,,,,,,,,,,,,,,
,3875428559.8359,4.00017070770264,0.60473296046257,,,,,,,,,,,,,0.0393938476200179,2.51366891783427E-6,-9.36767380190757E-5,1,2,,80,2,10,,,0.0379400334425998,0.000104776411673335,0.000229237324674614,-7.99591362010688E-5,,,,0.00950844892022082,39.995735168457,1.97456693492791,4.00109910964966,4.00003337860107,4.00022840499878,0.586946725845337,0.622519195079804,0.126262709498405,1,4,3,4,23.1730000402331,1,20.6811973166936,1.11427307128906,34.7018585205078,32.7468223571777,,,,,,,,,,,,,,,,
,3875428561.98159,4.00021181106567,0.613626092672348,,,,,,,,,,,,,0.039392357294239,2.24737963873E-6,-9.57242695777975E-5,1,2,,80,2,11,,,0.0379386082706388,0.000102797096400696,0.000229238576139323,-7.99498739070259E-5,,,,0.00950845994333718,39.995735168457,1.97462757844458,4.0009880065918,4.0001220703125,4.00026941299438,0.586946725845337,0.640305459499359,0.126349091529846,1,4,3,4,23.1730000402331,1,20.6820193537893,1.1151123046875,35.190616607666,32.7468223571777,,,,,,,,,,,,,,,,
,3875428564.13541,4.00027024745941,0.631412327289581,,,,,,,,,,,,,0.0393920994278845,2.30250268483394E-6,-9.68132834550495E-5,1,2,,80,2,12,,,0.0379383653170144,0.000101747020187505,0.000229236218729056,-7.9944082244765E-5,,,,0.00950864025770808,39.995735168457,1.97460626748064,4.00095367431641,4.00023317337036,4.00030326843262,0.622519195079804,0.640305459499359,0.126401573419571,1,4,3,4,23.1730000402331,1,20.6824968144487,1.11152648925781,35.190616607666,32.7468223571777,,,,,,,,,,,,,,,,
,3875428566.28558,4.00023183822632,0.640305489301682,,,,,,,,,,,,,0.0393944251083985,1.72038585022498E-6,-9.50144826678446E-5,1,2,,80,2,13,,,0.0379405962393978,0.000103490933468583,0.000229241995839402,-7.99590998212807E-5,,,,0.00950857425843933,39.995735168457,1.97457375818073,4.00090408325195,4.00007724761963,4.00033140182495,0.622519195079804,0.65809178352356,0.126376017928123,1,4,3,4,23.1730000402331,1,20.6827697440252,1.11053466796875,35.6793746948242,32.7468223571777,,,,,,,,,,,,,,,,
,3875428568.42894,4.00008363723755,0.666984915733337,,,,,,,,,,,,,0.0393934899599161,2.09038633790227E-6,-9.43433643777718E-5,1,2,,80,2,14,,,0.0379396922954709,0.000104132665252606,0.000229241588385776,-7.99615881987847E-5,,,,0.00950898814668416,39.995735168457,1.97462542946405,4.000816822052,3.99989652633667,4.00017499923706,0.65809178352356,0.675878047943115,0.126403748989105,1,4,3,4,23.1730000402331,1,20.6823830407336,1.11328125,35.6793746948242,32.2580642700195,,,,,,,,,,,,,,,,
,3875428570.57885,4.00010852813721,0.675878047943115,,,,,,,,,,,,,0.0393925548190466,2.33261548394306E-6,-9.5593253373848E-5,1,2,,80,2,15,,,0.0379387978648058,0.000102924294687442,0.000229237164603546,-7.99562185420655E-5,,,,0.00950840620962575,39.995735168457,1.97462375929163,4.00101518630981,4.00002145767212,4.00021409988403,0.675878047943115,0.675878047943115,0.126427978277206,1,4,3,4,23.1730000402331,1,20.6833515351107,1.11221313476562,35.6793746948242,32.2580642700195,,,,,,,,,,,,,,,,
,3875428572.72259,4.00021142959595,0.702557444572449,,,,,,,,,,,,,0.0393919338418894,2.31745200744687E-6,-9.52871306855845E-5,1,2,,80,2,16,,,0.0379381983007749,0.000103216060480313,0.000229229233809747,-7.99614062998444E-5,,,,0.00950820390789981,39.995735168457,1.9746075442552,4.00096273422241,4.00003576278687,4.00030326843262,0.675878047943115,0.729236841201782,0.126460671424866,1,4,3,4,23.1730000402331,1,20.6846808855735,1.11732482910156,36.1681327819824,32.7468223571777,,,,,,,,,,,,,,,,
