nicl2pym,,nicl2pym_2,,RuMnCl4Pyz4,,RuMnCl4Pyz4_2,,nicl2BTD_gixawe,,nicl2BTD_gixawe_2,,Fe_pym_c12,,Fe_pym_c12_2,,FeCl2BTD,,FeCl2BTD_2,,FeCl2BTD_hohaja,,FeCl2BTD_hohaja_2,,NiCl2BTD_zusundi,,NiCl2BTD_zusundi_2,,FeCl2BTD_D4,,FeCl2BTD_D4_2,,
Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),
784,0.08436517417,784,0.09924126416,784,0.01164207142,784,0.01093537174,784,0.1515846401,784,0.1410015821,784,0.01220755745,784,0.01081088092,784,0.04450703785,784,0.04188941792,784,0.7741039395,784,0.8582482338,784,0.7996632457,784,1.161935687,784,0.8246241808,784,0.7666849494,
783,0.08536216617,783,0.09999363124,783,0.01188104413,783,0.01105769444,783,0.1536405534,783,0.1426186264,783,0.01206795312,783,0.01076420769,783,0.04434598237,783,0.04125365242,783,0.774428308,783,0.8589141369,783,0.7997553945,783,1.161070228,783,0.8190157413,783,0.7694561481,
782,0.08522998542,782,0.1000713259,782,0.01173267141,782,0.01114229579,782,0.1529886723,782,0.1438869387,782,0.01200316567,782,0.01052476466,782,0.04337434843,782,0.04035076126,782,0.7742105126,782,0.8575676084,782,0.8004283905,782,1.161971211,782,0.8233886361,782,0.7662584186,
781,0.08652435988,781,0.1015933305,781,0.01207606867,781,0.01108420454,781,0.1541309208,781,0.1454370469,781,0.01194183622,781,0.01074977499,781,0.04350669682,781,0.04089106247,781,0.7775409818,781,0.8631913662,781,0.7988427281,781,1.166304827,781,0.8245117068,781,0.7718812227,
780,0.08729144931,780,0.1021906585,780,0.01217377651,780,0.01138170995,780,0.1569635272,780,0.1470861733,780,0.01212223805,780,0.01055291109,780,0.04346424341,780,0.04065021127,780,0.7815157771,780,0.8678679466,780,0.8009275198,780,1.168426991,780,0.827965498,780,0.7711389661,
779,0.08775040507,779,0.1033391953,779,0.01236947626,779,0.01137776766,779,0.1584140062,779,0.148929134,779,0.01221407764,779,0.01059997082,779,0.04363914579,779,0.04088588804,779,0.7844110727,779,0.8705260158,779,0.8030357957,779,1.170253396,779,0.8308650255,779,0.7746400833,
778,0.08887308091,778,0.1038388908,778,0.01265411545,778,0.011469597,778,0.1599861085,778,0.1505047828,778,0.01167541463,778,0.01045233291,778,0.04334087297,778,0.039841149,778,0.7863872051,778,0.8750193715,778,0.8045070171,778,1.17267859,778,0.8318482041,778,0.7764457464,
777,0.0891514346,777,0.1046653241,777,0.01299358066,777,0.01176061854,777,0.1622067988,777,0.1508695483,777,0.01225493755,777,0.01051953342,777,0.0432209149,777,0.03986398131,777,0.7915502191,777,0.8810554743,777,0.8059539795,777,1.177664995,777,0.8339756131,777,0.778770268,
776,0.08970617503,776,0.1058289111,776,0.01290791016,776,0.0120305093,776,0.1631390899,776,0.1525160074,776,0.01185674313,776,0.01034362242,776,0.04293327034,776,0.03986217827,776,0.7932607532,776,0.8821125031,776,0.8078950047,776,1.180926085,776,0.8357074261,776,0.7798475623,
775,0.09021767974,775,0.1062926203,775,0.01290788781,775,0.01214402262,775,0.1636800021,775,0.1539846063,775,0.01184825227,775,0.01030253712,775,0.0426508151,775,0.03999849036,775,0.7972608209,775,0.882144928,775,0.8081736565,775,1.17655921,775,0.8348074555,775,0.7794549465,
774,0.0908011049,774,0.1072255969,774,0.0132810073,774,0.01219628006,774,0.1661050171,774,0.1557283103,774,0.01178435516,774,0.01027004234,774,0.04246847704,774,0.03956475109,774,0.7973317504,774,0.886372149,774,0.8124973178,774,1.18313396,774,0.8379502296,774,0.7851406336,
773,0.09174802899,773,0.1086478978,773,0.01357065327,773,0.01238716673,773,0.1683648378,773,0.1573446095,773,0.01182199642,773,0.01034992468,773,0.0424949564,773,0.03924733773,773,0.8043037653,773,0.8939270377,773,0.8113048077,773,1.184630275,773,0.8414402008,773,0.7841748595,
772,0.09231948107,772,0.1089976951,772,0.01344989054,772,0.01237449422,772,0.1678204387,772,0.1575520933,772,0.01159339957,772,0.01005688682,772,0.04190593213,772,0.03879770637,772,0.8023155332,772,0.8898169994,772,0.8132696152,772,1.188172221,772,0.8428752422,772,0.7817848921,
771,0.09245735407,771,0.1106583625,771,0.01366770454,771,0.01265681442,771,0.1704952568,771,0.1599968225,771,0.01160260011,771,0.0101387687,771,0.04248512164,771,0.03900454566,771,0.805251956,771,0.8979759812,771,0.8138299584,771,1.187127471,771,0.845054388,771,0.788920939,
770,0.09438836575,770,0.1104820594,770,0.01400372852,770,0.01287651621,770,0.1717476398,770,0.1620458513,770,0.01151965652,770,0.009978641756,770,0.04192026705,770,0.03940407187,770,0.8086567521,770,0.899874568,770,0.8136506677,770,1.190627933,770,0.845069766,770,0.7863187194,
